"BSCID","VENDOR","REGION","TRAU","TRX","MSCID","LAUNCH_DATE","TEAM","DEPT","SUB_TEAM","NE_GROUP","LOCATION_NAME","SMS_CSSR","SMS_DRC","NSEI","ACTIVE_DATE","PROVINCE","LONGITUDE","LATITUDE","NE_TYPE"
"BBTLG1A","ALCATEL","MN",,,"",,"TVT Bình Thuận","ĐVT Đồng Nai","TVT Bình Thuận","","Tp. Phan Thiết",,,"",,"Bình Thuận","","","BSC"
"BBTHT2A","ALCATEL","MN",,,"",,"TVT Bình Thuận","ĐVT Đồng Nai","TVT Bình Thuận","","Tp. Phan Thiết",,,"",,"Bình Thuận","","","BSC"
"BCMU05Z","ZTE","MN",,,"",,"TVT Cà Mau","ĐVT Cần Thơ","TVT Cà Mau","","Cà Mau",,,"",,"Cà Mau","","","BSC"
"BCMU04Z","ZTE","MN",,,"",,"TVT Cà Mau","ĐVT Cần Thơ","TVT Cà Mau","","Cà Mau",,,"",,"Cà Mau","","","BSC"
"BCMU01Z","ZTE","MN",,,"",,"TVT Cà Mau","ĐVT Cần Thơ","TVT Cà Mau","","Cà Mau",,,"",,"Cà Mau","","","BSC"
"BCTO06E","ERICSSON","MN",,,"",,"TVT Cần Thơ","ĐVT Cần Thơ","TVT Cần Thơ","","Ninh Kiều",,,"",,"Cần Thơ","","","BSC"
"BCTO03E","ERICSSON","MN",,,"",,"TVT Cần Thơ","ĐVT Cần Thơ","TVT Cần Thơ","","Ninh Kiều",,,"",,"Cần Thơ","","","BSC"
"BCTO02E","ERICSSON","MN",,,"",,"TVT Cần Thơ","ĐVT Cần Thơ","TVT Cần Thơ","","Ninh Kiều",,,"",,"Cần Thơ","","","BSC"
"BCTO04E","ERICSSON","MN",,,"",,"TVT Cần Thơ","ĐVT Cần Thơ","TVT Cần Thơ","","Ninh Kiều",,,"",,"Cần Thơ","","","BSC"
"BCTO05E","ERICSSON","MN",,,"",,"TVT Cần Thơ","ĐVT Cần Thơ","TVT Cần Thơ","","Ninh Kiều",,,"",,"Cần Thơ","","","BSC"
"NINH_BINH_2","ALCATEL","MB",,,"",,"TVT Ninh Bình","ĐVT Nam Định","TVT Ninh Bình","","Ninh Bình",,,"",,"Ninh Bình","","","BSC"
"BDAN06E","ERICSSON","MT",,,"",,"TVT Đà Nẵng 2","ĐVT Đà Nẵng","TVT Đà Nẵng 2","","Hải Châu",,,"",,"Đà Nẵng","","","BSC"
"BDAN05E","ERICSSON","MT",,,"",,"TVT Đà Nẵng 2","ĐVT Đà Nẵng","TVT Đà Nẵng 2","","Hải Châu",,,"",,"Đà Nẵng","","","BSC"
"BDAN09E","ERICSSON","MT",,,"",,"TVT Đà Nẵng 2","ĐVT Đà Nẵng","TVT Đà Nẵng 2","","Hải Châu",,,"",,"Đà Nẵng","","","BSC"
"BDAN04E","ERICSSON","MT",,,"",,"TVT Đà Nẵng 2","ĐVT Đà Nẵng","TVT Đà Nẵng 2","","Hải Châu",,,"",,"Đà Nẵng","","","BSC"
"BDLK13A","ALCATEL","MT",,,"",,"TVT DakLak","ĐVT Daklak","TVT DakLak","","Buôn Ma Thuột",,,"",,"Đắc Lắc","","","BSC"
"BDLK10A","ALCATEL","MT",,,"",,"TVT DakLak","ĐVT Daklak","TVT DakLak","","Buôn Ma Thuột",,,"",,"Đắc Lắc","","","BSC"
"BQNI03E","ERICSSON","MT",,,"",,"TVT Quảng Ngãi","ĐVT Bình Định","TVT Quảng Ngãi","","Quảng Ngãi",,,"",,"Quảng Ngãi","","","BSC"
"HA_NAM_1","ALCATEL","MB",,,"",,"TVT Hà Nam","ĐVT Nam Định","TVT Hà Nam","","Phủ Lý",,,"",,"Hà Nam","","","BSC"
"HA_NAM_2","ALCATEL","MB",,,"",,"TVT Hà Nam","ĐVT Nam Định","TVT Hà Nam","","Phủ Lý",,,"",,"Hà Nam","","","BSC"
"BQTI02H","HUAWEI","MT",,,"",,"TVT Quảng Trị","ĐVT Đà Nẵng","TVT Quảng Trị","","Quảng Trị",,,"",,"Quảng Trị","","","BSC"
"BQTI01H","HUAWEI","MT",,,"",,"TVT Quảng Trị","ĐVT Đà Nẵng","TVT Quảng Trị","","Quảng Trị",,,"",,"Quảng Trị","","","BSC"
"BSTG02H","HUAWEI","MN",,,"",,"TVT Sóc Trăng","ĐVT Cần Thơ","TVT Sóc Trăng","","Sóc Trăng",,,"",,"Sóc Trăng","","","BSC"
"BSTG04H","HUAWEI","MN",,,"",,"TVT Sóc Trăng","ĐVT Cần Thơ","TVT Sóc Trăng","","Sóc Trăng",,,"",,"Sóc Trăng","","","BSC"
"BSTG03H","HUAWEI","MN",,,"",,"TVT Sóc Trăng","ĐVT Cần Thơ","TVT Sóc Trăng","","Sóc Trăng",,,"",,"Sóc Trăng","","","BSC"
"BSC_NGHE_AN_3","HUAWEI","MB",,,"",,"TVT Nghệ An","ĐVT Nghệ An","TVT Nghệ An","","Vinh",,,"",,"Nghệ An","","","BSC"
"BTNTN1A","ALCATEL","MN",,,"",,"TVT Tây Ninh","ĐVT Bình Dương","TVT Tây Ninh","","TX Tây Ninh",,,"",,"Tây Ninh","","","BSC"
"BTNTC1A","ALCATEL","MN",,,"",,"TVT Tây Ninh","ĐVT Bình Dương","TVT Tây Ninh","","TX Tây Ninh",,,"",,"Tây Ninh","","","BSC"
"BTNTB1A","ALCATEL","MN",,,"",,"TVT Tây Ninh","ĐVT Bình Dương","TVT Tây Ninh","","TX Tây Ninh",,,"",,"Tây Ninh","","","BSC"
"BTNDM1A","ALCATEL","MN",,,"",,"TVT Tây Ninh","ĐVT Bình Dương","TVT Tây Ninh","","TX Tây Ninh",,,"",,"Tây Ninh","","","BSC"
"BTNCT1A","ALCATEL","MN",,,"",,"TVT Tây Ninh","ĐVT Bình Dương","TVT Tây Ninh","","TX Tây Ninh",,,"",,"Tây Ninh","","","BSC"
"BSC_DIEN_CHAU","HUAWEI","MB",,,"",,"TVT Nghệ An","ĐVT Nghệ An","TVT Nghệ An","","Vinh",,,"",,"Nghệ An","","","BSC"
"BSC_QUANG_BINH_1","HUAWEI","MB",,,"",,"TVT Quảng Bình","ĐVT Nghệ An","TVT Quảng Bình","","Đồng Hới",,,"",,"Quảng Bình","","","BSC"
"BSC_QUANG_BINH_2","HUAWEI","MB",,,"",,"TVT Quảng Bình","ĐVT Nghệ An","TVT Quảng Bình","","Đồng Hới",,,"",,"Quảng Bình","","","BSC"
"BSC_TRIEU_SON","HUAWEI","MB",,,"",,"TVT Thanh Hóa","ĐVT Nghệ An","TVT Thanh Hóa","","Thanh Hóa",,,"",,"Thanh Hóa","","","BSC"
"BSC_THANH_HOA_3","HUAWEI","MB",,,"",,"TVT Thanh Hóa","ĐVT Nghệ An","TVT Thanh Hóa","","Thanh Hóa",,,"",,"Thanh Hóa","","","BSC"
"BSC_HAM_RONG","HUAWEI","MB",,,"",,"TVT Thanh Hóa","ĐVT Nghệ An","TVT Thanh Hóa","","Thanh Hóa",,,"",,"Thanh Hóa","","","BSC"
"BSG072E","ERICSSON","MN",,,"",,"TVT 3","ĐVT Đông","TVT 3","","Q.7",,,"",,"Hồ Chí Minh","","","BSC"
"BDLK09A","ALCATEL","MT",,,"",,"TVT DakLak","ĐVT Daklak","TVT DakLak","","Buôn Ma Thuột",,,"",,"Đắc Lắc","","","BSC"
"BDLK08A","ALCATEL","MT",,,"",,"TVT DakLak","ĐVT Daklak","TVT DakLak","","Buôn Ma Thuột",,,"",,"Đắc Lắc","","","BSC"
"BDLBT1N","NOKIA SIEMENS","MT",,,"",,"TVT DakLak","ĐVT Daklak","TVT DakLak","","Buôn Ma Thuột",,,"",,"Đắc Lắc","","","BSC"
"BDLK12A","ALCATEL","MT",,,"",,"TVT DakLak","ĐVT Daklak","TVT DakLak","","Buôn Ma Thuột",,,"",,"Đắc Lắc","","","BSC"
"BDLK11A","ALCATEL","MT",,,"",,"TVT DakLak","ĐVT Daklak","TVT DakLak","","Buôn Ma Thuột",,,"",,"Đắc Lắc","","","BSC"
"BDNG05A","ALCATEL","MT",,,"",,"TVT DakNong","ĐVT Daklak","TVT DakNong","","Gia Nghĩa",,,"",,"Đắc Nông","","","BSC"
"BDNG04A","ALCATEL","MT",,,"",,"TVT DakNong","ĐVT Daklak","TVT DakNong","","Gia Nghĩa",,,"",,"Đắc Nông","","","BSC"
"BDNG01A","ALCATEL","MT",,,"",,"TVT DakNong","ĐVT Daklak","TVT DakNong","","Gia Nghĩa",,,"",,"Đắc Nông","","","BSC"
"BDLK05A","ALCATEL","MT",,,"",,"TVT DakLak","ĐVT Daklak","TVT DakLak","","Buôn Ma Thuột",,,"",,"Đắc Lắc","","","BSC"
"BDLK04A","ALCATEL","MT",,,"",,"TVT DakLak","ĐVT Daklak","TVT DakLak","","Buôn Ma Thuột",,,"",,"Đắc Lắc","","","BSC"
"BDNG02A","ALCATEL","MT",,,"",,"TVT DakNong","ĐVT Daklak","TVT DakNong","","Gia Nghĩa",,,"",,"Đắc Nông","","","BSC"
"BSC_HA_TINH_2","HUAWEI","MB",,,"",,"TVT Hà Tĩnh","ĐVT Nghệ An","TVT Hà Tĩnh","","Hà Tĩnh",,,"",,"Hà Tĩnh","","","BSC"
"BDNLT1N","NOKIA SIEMENS","MN",,,"",,"TVT Biên Hòa","ĐVT Đồng Nai","TVT Biên Hòa","","Tp. Biên Hòa",,,"",,"Đồng Nai","","","BSC"
"BDNBH2N","NOKIA SIEMENS","MN",,,"",,"TVT Biên Hòa","ĐVT Đồng Nai","TVT Biên Hòa","","Tp. Biên Hòa",,,"",,"Đồng Nai","","","BSC"
"BDNBH1N","NOKIA SIEMENS","MN",,,"",,"TVT Biên Hòa","ĐVT Đồng Nai","TVT Biên Hòa","","Tp. Biên Hòa",,,"",,"Đồng Nai","","","BSC"
"BDNTN2A","ALCATEL","MN",,,"",,"TVT Biên Hòa","ĐVT Đồng Nai","TVT Biên Hòa","","Tp. Biên Hòa",,,"",,"Đồng Nai","","","BSC"
"BDNBH3N","NOKIA SIEMENS","MN",,,"",,"TVT Long Khánh","ĐVT Đồng Nai","TVT Long Khánh","","Tp. Biên Hòa",,,"",,"Đồng Nai","","","BSC"
"BDNXL1A","ALCATEL","MN",,,"",,"TVT Long Khánh","ĐVT Đồng Nai","TVT Long Khánh","","Tp. Biên Hòa",,,"",,"Đồng Nai","","","BSC"
"BDNTP2A","ALCATEL","MN",,,"",,"TVT Long Khánh","ĐVT Đồng Nai","TVT Long Khánh","","Tp. Biên Hòa",,,"",,"Đồng Nai","","","BSC"
"BDTP04E","ERICSSON","MN",,,"",,"TVT Đồng Tháp","ĐVT Tiền Giang","TVT Đồng Tháp","","TP Cao Lãnh",,,"",,"Đồng Tháp","","","BSC"
"BDTP03E","ERICSSON","MN",,,"",,"TVT Đồng Tháp","ĐVT Tiền Giang","TVT Đồng Tháp","","TP Cao Lãnh",,,"",,"Đồng Tháp","","","BSC"
"BDTP01E","ERICSSON","MN",,,"",,"TVT Đồng Tháp","ĐVT Tiền Giang","TVT Đồng Tháp","","TP Cao Lãnh",,,"",,"Đồng Tháp","","","BSC"
"BDTP02E","ERICSSON","MN",,,"",,"TVT Đồng Tháp","ĐVT Tiền Giang","TVT Đồng Tháp","","TP Cao Lãnh",,,"",,"Đồng Tháp","","","BSC"
"BGLA09A","ALCATEL","MT",,,"",,"TVT Gia Lai","ĐVT Daklak","TVT Gia Lai","","Pleiku",,,"",,"Gia Lai","","","BSC"
"BGLA08A","ALCATEL","MT",,,"",,"TVT Gia Lai","ĐVT Daklak","TVT Gia Lai","","Pleiku",,,"",,"Gia Lai","","","BSC"
"BGLA07A","ALCATEL","MT",,,"",,"TVT Gia Lai","ĐVT Daklak","TVT Gia Lai","","Pleiku",,,"",,"Gia Lai","","","BSC"
"BGLA05A","ALCATEL","MT",,,"",,"TVT Gia Lai","ĐVT Daklak","TVT Gia Lai","","Pleiku",,,"",,"Gia Lai","","","BSC"
"BGLA04A","ALCATEL","MT",,,"",,"TVT Gia Lai","ĐVT Daklak","TVT Gia Lai","","Pleiku",,,"",,"Gia Lai","","","BSC"
"BGLA03A","ALCATEL","MT",,,"",,"TVT Gia Lai","ĐVT Daklak","TVT Gia Lai","","Pleiku",,,"",,"Gia Lai","","","BSC"
"BGLA06A","ALCATEL","MT",,,"",,"TVT Gia Lai","ĐVT Daklak","TVT Gia Lai","","Pleiku",,,"",,"Gia Lai","","","BSC"
"BSC_DUC_THO","HUAWEI","MB",,,"",,"TVT Hà Tĩnh","ĐVT Nghệ An","TVT Hà Tĩnh","","Hà Tĩnh",,,"",,"Hà Tĩnh","","","BSC"
"BSC_NGHE_AN_2","HUAWEI","MB",,,"",,"TVT Nghệ An","ĐVT Nghệ An","TVT Nghệ An","","Hà Tĩnh",,,"",,"Hà Tĩnh","","","BSC"
"BHNCG2E","ERICSSON","MB",,,"",,"TVT Lạng Sơn","ĐVT Thái Nguyên","TVT Lạng Sơn","","Lạng Sơn",,,"",,"Lạng Sơn","","","BSC"
"TUYEN_QUANG","ALCATEL","MB",,,"",,"TVT Tuyên Quang","ĐVT Thái Nguyên","TVT Tuyên Quang","","Tuyên Quang",,,"",,"Tuyên Quang","","","BSC"
"BAC_KAN_1","ALCATEL","MB",,,"",,"TVT Bắc Cạn","ĐVT Thái Nguyên","TVT Bắc Cạn","","Bắc Cạn",,,"",,"Bắc Cạn","","","BSC"
"BAC_GIANG_2","ALCATEL","MB",,,"",,"TVT Bắc Giang","ĐVT Thái Nguyên","TVT Bắc Giang","","Bắc Giang",,,"",,"Bắc Giang","","","BSC"
"BAC_GIANG_1","ALCATEL","MB",,,"",,"TVT Bắc Giang","ĐVT Thái Nguyên","TVT Bắc Giang","","Bắc Giang",,,"",,"Bắc Giang","","","BSC"
"BAC_NINH_2","ALCATEL","MB",,,"",,"TVT Bắc Ninh","ĐVT Thái Nguyên","TVT Bắc Ninh","","Bắc Ninh",,,"",,"Bắc Ninh","","","BSC"
"BAC_NINH_1","ALCATEL","MB",,,"",,"TVT Bắc Ninh","ĐVT Thái Nguyên","TVT Bắc Ninh","","Bắc Ninh",,,"",,"Bắc Ninh","","","BSC"
"CAO_BANG","ALCATEL","MB",,,"",,"TVT Cao Bằng","ĐVT Thái Nguyên","TVT Cao Bằng","","Cao Bằng",,,"",,"Cao Bằng","","","BSC"
"THAI_NGUYEN_1","ALCATEL","MB",,,"",,"TVT Thái Nguyên","ĐVT Thái Nguyên","TVT Thái Nguyên","","Thái Nguyên",,,"",,"Thái Nguyên","","","BSC"
"THAI_NGUYEN_2","ALCATEL","MB",,,"",,"TVT Thái Nguyên","ĐVT Thái Nguyên","TVT Thái Nguyên","","Thái Nguyên",,,"",,"Thái Nguyên","","","BSC"
"HA_GIANG_1","ALCATEL","MB",,,"",,"TVT Hà Giang","ĐVT Thái Nguyên","TVT Hà Giang","","Hà Giang",,,"",,"Hà Giang","","","BSC"
"LAI_CHAU","ALCATEL","MB",,,"",,"TVT Lai Châu","ĐVT Vĩnh Phúc","TVT Lai Châu","","Lai Châu",,,"",,"Lai Châu","","","BSC"
"LAO_CAI_1","ALCATEL","MB",,,"",,"TVT Lào Cai","ĐVT Vĩnh Phúc","TVT Lào Cai","","Lào Cai",,,"",,"Lào Cai","","","BSC"
"VIET_TRI_2","ALCATEL","MB",,,"",,"TVT Phú Thọ","ĐVT Vĩnh Phúc","TVT Phú Thọ","","Phú Thọ",,,"",,"Phú Thọ","","","BSC"
"VIET_TRI_3","ALCATEL","MB",,,"",,"TVT Phú Thọ","ĐVT Vĩnh Phúc","TVT Phú Thọ","","Phú Thọ",,,"",,"Phú Thọ","","","BSC"
"VINH_PHUC_1","ALCATEL","MB",,,"",,"TVT Vĩnh Phúc","ĐVT Vĩnh Phúc","TVT Vĩnh Phúc","","Vĩnh Tường",,,"",,"Vĩnh Phúc","","","BSC"
"VINH_PHUC_2","ALCATEL","MB",,,"",,"TVT Vĩnh Phúc","ĐVT Vĩnh Phúc","TVT Vĩnh Phúc","","Vĩnh Tường",,,"",,"Vĩnh Phúc","","","BSC"
"YEN_BAI_1","ALCATEL","MB",,,"",,"TVT Yên Bái","ĐVT Vĩnh Phúc","TVT Yên Bái","","Yên Bái",,,"",,"Yên Bái","","","BSC"
"SON_LA_1","ALCATEL","MB",,,"",,"TVT Sơn La","ĐVT Vĩnh Phúc","TVT Sơn La","","Sơn La",,,"",,"Sơn La","","","BSC"
"DIEN_BIEN_1","ALCATEL","MB",,,"",,"TVT Điện Biên","ĐVT Vĩnh Phúc","TVT Điện Biên","","Điện Biên",,,"",,"Điện Biên","","","BSC"
"BHGG01E","ERICSSON","MN",,,"",,"TVT Hậu Giang","ĐVT Cần Thơ","TVT Hậu Giang","","Vị Thanh",,,"",,"Hậu Giang","","","BSC"
"BCTO08E","ERICSSON","MN",,,"",,"TVT Hậu Giang","ĐVT Cần Thơ","TVT Hậu Giang","","Vị Thanh",,,"",,"Hậu Giang","","","BSC"
"BSG082E","ERICSSON","MN",,,"",,"TVT 1","ĐVT Đông","TVT 1","","Q.8",,,"",,"Hồ Chí Minh","","","BSC"
"BSG031E","ERICSSON","MN",,,"",,"TVT 1","ĐVT Đông","TVT 1","","Q.3",,,"",,"Hồ Chí Minh","","","BSC"
"BSCLAB","","MN",,,"",,"TVT 1","ĐVT Đông","TVT 1","","Q.1",,,"",,"Hồ Chí Minh","","","BSC"
"BSGBT3E","ERICSSON","MN",,,"",,"TVT 1","ĐVT Đông","TVT 1","","Q.Bình Tân",,,"",,"Hồ Chí Minh","","","BSC"
"BSGPN2E","ERICSSON","MN",,,"",,"TVT 1","ĐVT Đông","TVT 1","","Q.Phú Nhuận",,,"",,"Hồ Chí Minh","","","BSC"
"BSG032E","ERICSSON","MN",,,"",,"TVT 1","ĐVT Đông","TVT 1","","Q.3",,,"",,"Hồ Chí Minh","","","BSC"
"BSG013E","ERICSSON","MN",,,"",,"TVT 1","ĐVT Đông","TVT 1","","Q.1",,,"",,"Hồ Chí Minh","","","BSC"
"BSG011E","ERICSSON","MN",,,"",,"TVT 1","ĐVT Đông","TVT 1","","Q.1",,,"",,"Hồ Chí Minh","","","BSC"
"BSGPN1E","ERICSSON","MN",,,"",,"TVT 1","ĐVT Đông","TVT 1","","Q.Phú Nhuận",,,"",,"Hồ Chí Minh","","","BSC"
"BSG092E","ERICSSON","MN",,,"",,"TVT 2","ĐVT Đông","TVT 2","","Q.9",,,"",,"Hồ Chí Minh","","","BSC"
"BSG021E","ERICSSON","MN",,,"",,"TVT 2","ĐVT Đông","TVT 2","","Q.2",,,"",,"Hồ Chí Minh","","","BSC"
"BSG091E","ERICSSON","MN",,,"",,"TVT 2","ĐVT Đông","TVT 2","","Q.9",,,"",,"Hồ Chí Minh","","","BSC"
"BSGTD1E","ERICSSON","MN",,,"",,"TVT 2","ĐVT Đông","TVT 2","","Q.Tân Bình",,,"",,"Hồ Chí Minh","","","BSC"
"BSGTD2E","ERICSSON","MN",,,"",,"TVT 2","ĐVT Đông","TVT 2","","Q.Tân Bình",,,"",,"Hồ Chí Minh","","","BSC"
"BSG022E","ERICSSON","MN",,,"",,"TVT 2","ĐVT Đông","TVT 2","","Q.2",,,"",,"Hồ Chí Minh","","","BSC"
"BNTPR2A","ALCATEL","MN",,,"",,"TVT Ninh Thuận","ĐVT Đồng Nai","TVT Ninh Thuận","","Tp. Phan Rang",,,"",,"Ninh Thuận","","","BSC"
"BSGNB2E","ERICSSON","MN",,,"",,"TVT 3","ĐVT Đông","TVT 3","","H.Nhà Bè",,,"",,"Hồ Chí Minh","","","BSC"
"BSG071E","ERICSSON","MN",,,"",,"TVT 3","ĐVT Đông","TVT 3","","Q.7",,,"",,"Hồ Chí Minh","","","BSC"
"BSG101E","ERICSSON","MN",,,"",,"TVT 4","ĐVT Đông","TVT 4","","Q.10",,,"",,"Hồ Chí Minh","","","BSC"
"BSG051E","ERICSSON","MN",,,"",,"TVT 4","ĐVT Đông","TVT 4","","Q.5",,,"",,"Hồ Chí Minh","","","BSC"
"BSG111E","ERICSSON","MN",,,"",,"TVT 4","ĐVT Đông","TVT 4","","Q.11",,,"",,"Hồ Chí Minh","","","BSC"
"BSG102E","ERICSSON","MN",,,"",,"TVT 4","ĐVT Đông","TVT 4","","Q.10",,,"",,"Hồ Chí Minh","","","BSC"
"BSG052E","ERICSSON","MN",,,"",,"TVT 4","ĐVT Đông","TVT 4","","Q.5",,,"",,"Hồ Chí Minh","","","BSC"
"BSG041E","ERICSSON","MN",,,"",,"TVT 4","ĐVT Đông","TVT 4","","Q.4",,,"",,"Hồ Chí Minh","","","BSC"
"BSGHM1N","NOKIA SIEMENS","MN",,,"",,"TVT 5","ĐVT Tây","TVT 5","","H.Hóc Môn",,,"",,"Hồ Chí Minh","","","BSC"
"BSGBC2E","ERICSSON","MN",,,"",,"TVT 5","ĐVT Tây","TVT 5","","H.Bình Chánh",,,"",,"Hồ Chí Minh","","","BSC"
"BSGBC1E","ERICSSON","MN",,,"",,"TVT 5","ĐVT Tây","TVT 5","","H.Bình Chánh",,,"",,"Hồ Chí Minh","","","BSC"
"BBDTM2N","NOKIA SIEMENS","MN",,,"",,"TVT Bình Dương","ĐVT Bình Dương","TVT Bình Dương","","TX.Thủ Dầu Một",,,"",,"Bình Dương","","","BSC"
"BNTPR3A","ALCATEL","MN",,,"",,"TVT Ninh Thuận","ĐVT Đồng Nai","TVT Ninh Thuận","","Tp. Phan Rang",,,"",,"Ninh Thuận","","","BSC"
"BSG1010N","NOKIA SIEMENS","MN",,,"",,"TVT 7","ĐVT Tây","TVT 7","","Q.Gò Vấp",,,"",,"Hồ Chí Minh","","","BSC"
"BSG1011N","NOKIA SIEMENS","MN",,,"",,"TVT 5","ĐVT Tây","TVT 5","","H.Hóc Môn",,,"",,"Hồ Chí Minh","","","BSC"
"BSG101N","NOKIA SIEMENS","MN",,,"",,"TVT 4","ĐVT Đông","TVT 4","","Q.10",,,"",,"Hồ Chí Minh","","","BSC"
